排名,代號,名稱,收盤價,綜合評分,投資等級,技術評分,基本面評分,籌碼評分,風險等級,交易訊號,信心度,倉位建議,核心論點,狀態
681,2867,三商壽,$6.42,57.8,B,70,30,75,中,BUY,95%,小額試單5-10%,基本面穩健，短期動能強勁，適合波段操作,成功
667,2832,台產,$36.20,57.8,B,40,55,80,低,SELL,55%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
364,1720,生達,$55.60,57.8,B,35,75,50,低,SELL,55%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
657,2731,雄獅,$156.00,57.8,B,38,72,50,低,SELL,57%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
618,2543,皇昌,$73.00,57.8,B,35,73,50,低,SELL,60%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
590,2488,漢平,$44.05,57.7,B,25,87,50,低,SELL,70%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
682,2881C,富邦金丙特,$54.10,57.5,B,40,65,50,低,SELL,55%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
290,1470,大統新創,$22.55,57.5,B,50,57,50,低,HOLD,50%,小額試單5-10%,基本面穩健，短期動能強勁，適合波段操作,成功
512,2379,瑞昱,$532.00,57.3,B,43,85,0,低,HOLD,38%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
408,2010,春源,$20.45,57.3,B,50,63,30,低,HOLD,45%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
705,2904,匯僑,$17.50,57.2,B,30,85,30,低,SELL,65%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
222,1235,興泰,$65.00,57.1,B,71,40,50,中,BUY,95%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
691,2885,元大金,$34.05,57.1,B,43,78,15,低,HOLD,38%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
660,2753,八方雲集,$197.50,57.0,B,38,70,50,低,SELL,57%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
296,1475,業旺,$33.40,57.0,B,15,80,75,低,SELL,80%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
12,6206,飛捷,$103.50,56.9,B,5,92,75,低,SELL,80%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
450,2228,劍麟,$105.00,56.8,B,48,70,30,低,HOLD,43%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
699,2891B,中信金乙特,$63.50,56.8,B,40,65,50,低,SELL,55%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
381,1752,南光,$36.95,56.6,B,43,68,50,低,HOLD,38%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
692,2886,兆豐金,$41.80,56.4,B,50,41,75,低,HOLD,40%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
678,2880,華南金,$29.10,56.3,B,40,51,80,低,SELL,50%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
609,2528,皇普,$28.35,56.2,B,20,92,30,低,SELL,75%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
485,2344,華邦電,$38.80,56.2,B,50,32,100,中,HOLD,50%,小額試單5-10%,基本面穩健，短期動能強勁，適合波段操作,成功
344,1608,華榮,$31.25,56.0,B,50,55,50,低,HOLD,50%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
679,2851,中再保,$24.15,56.0,B,50,40,75,低,HOLD,45%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
376,1734,杏輝,$30.60,56.0,B,40,63,50,低,SELL,60%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
545,2428,興勤,$170.50,56.0,B,30,68,50,低,SELL,80%,小額試單5-10%,基本面穩健，短期動能強勁，適合波段操作,成功
514,2383,台光電,$1305.00,55.8,B,30,65,50,低,SELL,80%,小額試單5-10%,基本面穩健，短期動能強勁，適合波段操作,成功
629,2603,長榮,$180.50,55.7,B,10,92,50,低,SELL,90%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
433,2101,南港,$38.60,55.5,B,28,85,30,低,SELL,72%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
463,2302,麗正,$17.05,55.5,B,43,52,75,低,HOLD,43%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
467,2312,金寶,$19.45,55.5,B,53,40,75,低,HOLD,53%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
669,2836,高雄銀,$11.95,55.3,B,45,43,75,低,HOLD,35%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
182,9802,鈺齊-KY,$104.50,55.3,B,45,41,75,低,HOLD,40%,小額試單5-10%,基本面穩健，短期動能強勁，適合波段操作,成功
372,1732,毛寶,$29.85,55.2,B,50,42,75,低,HOLD,45%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
370,1726,永記,$75.30,55.2,B,20,70,75,低,SELL,75%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
508,2375,凱美,$81.10,55.0,B,45,50,50,低,HOLD,45%,小額試單5-10%,基本面穩健，短期動能強勁，適合波段操作,成功
202,1108,幸福,$15.05,55.0,B,35,67,50,低,SELL,55%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
706,2901,欣欣,$25.75,55.0,B,50,52,50,低,HOLD,45%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
559,2449,京元電子,$169.00,55.0,B,30,70,50,低,SELL,80%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
442,2201,裕隆,$33.65,54.8,B,48,60,35,低,HOLD,48%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
273,1446,宏和,$19.50,54.7,B,18,92,30,低,SELL,77%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
507,2373,震旦行,$57.80,54.5,B,45,60,30,低,HOLD,35%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
688,2883B,凱基金乙特,$7.71,54.5,B,50,57,30,低,HOLD,40%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
665,2816,旺旺保,$26.70,54.5,B,40,48,75,低,SELL,60%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
680,2881,富邦金,$86.50,54.5,B,40,65,35,低,SELL,50%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
756,3042,晶技,$89.00,54.1,B,43,78,10,低,HOLD,38%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
117,00881,國泰台灣科技龍頭,$30.10,54.1,B,71,0,95,低,BUY,91%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
394,1817,凱撒衛,$38.90,54.0,B,23,85,30,低,SELL,72%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
604,2516,新建,$14.80,54.0,B,30,65,50,低,SELL,60%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
701,2891C,中信金丙特,$60.30,53.5,B,35,65,50,低,SELL,55%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
752,3036A,文曄甲特,$50.70,53.5,B,35,65,50,低,SELL,55%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
230,1307,三芳,$30.35,53.5,B,20,82,35,低,SELL,75%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
648,2701,萬企,$11.15,53.3,B,50,43,50,低,HOLD,45%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
567,2459,敦吉,$63.50,53.2,B,35,60,50,低,SELL,60%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
349,1615,大山,$47.85,53.2,B,23,87,30,低,SELL,72%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
220,1233,天仁,$30.80,53.2,B,55,42,50,低,HOLD,45%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
313,1524,耿鼎,$27.30,53.0,B,13,92,30,低,SELL,80%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
303,1504,東元,$113.50,53.0,B,35,37,95,低,SELL,75%,小額試單5-10%,基本面穩健，短期動能強勁，適合波段操作,成功
302,1513,中興電,$155.00,53.0,B,8,80,70,低,SELL,85%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
707,2903,遠百,$22.25,52.8,B,35,50,70,低,SELL,65%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
347,1612,宏泰,$37.60,52.8,B,35,63,50,低,SELL,65%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
745,3031,佰鴻,$21.00,52.8,B,35,50,75,低,SELL,75%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
576,2477,美隆電,$23.40,52.8,B,23,62,75,低,SELL,72%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
249,1342,八貫,$85.10,52.8,B,20,65,75,低,SELL,75%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
616,2539,櫻花建,$47.75,52.7,B,10,92,30,低,SELL,80%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
263,1436,華友聯,$71.00,52.5,B,13,85,50,低,SELL,80%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
685,2882,國泰金,$65.00,52.3,B,38,65,25,低,SELL,57%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
499,2364,倫飛,$73.50,52.3,B,23,80,30,低,SELL,77%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
591,2492,華新科,$102.50,52.2,B,45,42,50,低,HOLD,45%,小額試單5-10%,基本面穩健，短期動能強勁，適合波段操作,成功
751,3037,欣興,$156.00,52.2,B,35,35,100,低,SELL,65%,小額試單5-10%,基本面穩健，短期動能強勁，適合波段操作,成功
360,1714,和桐,$7.85,52.2,B,50,40,50,低,HOLD,40%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
458,2248,華勝-KY,$42.95,52.2,B,10,82,50,低,SELL,80%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
562,2453,凌群,$60.50,52.0,B,38,60,50,低,SELL,57%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
578,2471,資通,$50.10,52.0,B,10,75,75,低,SELL,80%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
621,2546,根基,$87.10,51.8,B,45,50,50,低,HOLD,35%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
247,1341,富林-KY,$60.00,51.8,B,15,80,50,低,SELL,85%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
694,2887E,台新新光戊特一,$48.70,51.8,B,50,43,50,低,HOLD,40%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
454,2236,百達-KY,$109.50,51.5,B,40,50,50,低,SELL,65%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
235,1315,達新,$65.60,51.5,B,77,15,50,低,BUY,95%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
527,2409,友達,$13.80,51.3,B,48,43,35,低,HOLD,48%,小額試單5-10%,基本面穩健，短期動能強勁，適合波段操作,成功
486,2348,海悅,$85.30,51.3,B,23,78,30,低,SELL,77%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
443,2115,六暉-KY,$26.80,51.2,B,15,72,50,低,SELL,80%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
729,3014,聯陽,$132.00,51.2,B,18,82,30,低,SELL,77%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
666,2820,華票,$16.40,51.2,B,35,50,60,低,SELL,55%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
345,1609,大亞,$39.10,51.1,B,18,56,100,低,SELL,77%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
204,1203,味王,$39.90,51.0,B,35,58,50,低,SELL,55%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
350,1616,億泰,$35.25,51.0,B,10,72,75,低,SELL,80%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
363,1717,長興,$41.65,51.0,B,30,37,100,低,SELL,70%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
592,2495,普安,$21.70,51.0,B,43,50,50,低,HOLD,43%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
341,1603,華電,$38.90,50.8,B,43,60,30,低,HOLD,38%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
742,3026,禾伸堂,$98.10,50.8,B,40,43,50,低,SELL,70%,小額試單5-10%,基本面穩健，短期動能強勁，適合波段操作,成功
400,1907,永豐餘,$25.55,50.8,B,50,25,75,低,HOLD,40%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
215,1225,福懋油,$30.45,50.8,B,50,38,50,低,HOLD,45%,小額試單5-10%,基本面穩健，短期動能強勁，適合波段操作,成功
533,2415,錩新,$25.60,50.8,B,40,48,50,低,SELL,55%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
494,2356,英業達,$45.75,50.6,B,45,51,25,低,HOLD,45%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
362,1711,永光,$20.20,50.5,B,50,37,50,低,HOLD,45%,小額試單5-10%,基本面穩健，短期動能強勁，適合波段操作,成功
197,1101,台泥,$23.70,50.5,B,40,58,25,低,SELL,55%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
725,3013,晟銘電,$123.00,50.5,B,25,60,50,低,SELL,75%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
208,1215,卜蜂,$138.00,50.5,B,45,55,25,低,HOLD,40%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
366,1718,中纖,$6.53,50.5,B,35,57,50,中,SELL,60%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
563,2454,聯發科,$1320.00,50.3,B,23,85,0,低,SELL,77%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
440,2109,華豐,$15.50,50.3,B,8,70,75,低,SELL,85%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
299,1477,聚陽,$273.00,50.3,B,38,70,10,低,SELL,57%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
538,2420,新巨,$51.80,50.2,B,15,82,35,低,SELL,75%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
664,2812,台中銀,$22.40,50.1,B,35,51,50,低,SELL,60%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
329,1558,伸興,$90.40,50.1,B,13,73,50,低,SELL,80%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
309,1522A,堤維西甲特,$48.55,50.0,B,43,47,50,低,HOLD,38%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
379,1737,臺鹽,$32.20,50.0,B,40,50,50,低,SELL,55%,小額試單5-10%,綜合評估一般，需要更多催化劑,成功
639,2630,亞航,$56.20,49.8,C+,58,32,50,低,HOLD,58%,不建議配置或減碼,綜合評估一般，需要更多催化劑,成功
579,2478,大毅,$50.80,49.8,C+,30,50,50,低,SELL,70%,不建議配置或減碼,基本面穩健，短期動能強勁，適合波段操作,成功
11,6205,詮欣,$41.85,49.8,C+,25,60,50,低,SELL,70%,不建議配置或減碼,綜合評估一般，需要更多催化劑,成功
224,1236,宏亞,$27.45,49.8,C+,60,25,50,中,HOLD,60%,不建議配置或減碼,基本面穩健，短期動能強勁，適合波段操作,成功
451,2231,為升,$126.00,49.7,C+,40,47,50,低,SELL,60%,不建議配置或減碼,綜合評估一般，需要更多催化劑,成功
710,2908,特力,$20.10,49.7,C+,50,37,50,低,HOLD,45%,不建議配置或減碼,綜合評估一般，需要更多催化劑,成功
501,2363,矽統,$55.90,49.6,C+,38,53,50,低,SELL,57%,不建議配置或減碼,綜合評估一般，需要更多催化劑,成功
268,1442,名軒,$39.00,49.5,C+,8,92,30,低,SELL,85%,不建議配置或減碼,綜合評估一般，需要更多催化劑,成功
213,1220,台榮,$13.15,49.5,C+,40,42,50,低,SELL,60%,不建議配置或減碼,綜合評估一般，需要更多催化劑,成功
738,3023,信邦,$224.50,49.5,C+,23,70,35,低,SELL,72%,不建議配置或減碼,綜合評估一般，需要更多催化劑,成功
520,2393,億光,$63.70,49.5,C+,10,85,25,低,SELL,75%,不建議配置或減碼,綜合評估一般，需要更多催化劑,成功
708,2905,三商,$12.70,49.5,C+,50,37,50,中,HOLD,50%,不建議配置或減碼,基本面穩健，短期動能強勁，適合波段操作,成功
445,2207,和泰車,$576.00,49.5,C+,43,65,0,低,HOLD,38%,不建議配置或減碼,綜合評估一般，需要更多催化劑,成功
634,2614,東森,$20.80,49.3,C+,35,53,50,低,SELL,60%,不建議配置或減碼,綜合評估一般，需要更多催化劑,成功
359,1712,興農,$43.70,49.3,C+,40,48,35,低,SELL,50%,不建議配置或減碼,綜合評估一般，需要更多催化劑,成功
698,2891,中信金,$42.35,49.2,C+,20,72,35,低,SELL,75%,不建議配置或減碼,綜合評估一般，需要更多催化劑,成功
502,2368,金像電,$441.50,49.2,C+,35,72,0,低,SELL,65%,不建議配置或減碼,綜合評估一般，需要更多催化劑,成功
633,2612,中航,$48.70,49.1,C+,23,73,30,低,SELL,77%,不建議配置或減碼,綜合評估一般，需要更多催化劑,成功
737,3025,星通,$41.80,49.0,C+,13,75,50,低,SELL,80%,不建議配置或減碼,綜合評估一般，需要更多催化劑,成功
677,2852,第一保,$26.70,49.0,C+,35,48,50,低,SELL,60%,不建議配置或減碼,綜合評估一般，需要更多催化劑,成功
624,2597,潤弘,$151.00,49.0,C+,5,80,50,低,SELL,80%,不建議配置或減碼,綜合評估一般，需要更多催化劑,成功
407,2009,第一銅,$40.20,49.0,C+,40,42,50,低,SELL,55%,不建議配置或減碼,基本面穩健，短期動能強勁，適合波段操作,成功
