排名,代號,名稱,收盤價,綜合評分,投資等級,技術評分,基本面評分,風險等級,交易訊號,信心度,倉位建議,持有期間,EPS,ROE,本益比,負債比,核心論點,主要優勢,主要風險
11,3017,奇鋐,$1025.00,73.5,A,65,70,低,HOLD,60%,可配置20-30%資金,中長期持有 (3-6個月),29.83,42.2%,34.4,0.0%,基本面優異且技術面向好，具備中長期投資價值,基本面表現優異 | 風險控制良好,風險可控
12,3045,台灣大,$108.50,71.9,A,76,50,低,BUY,95%,可配置20-30%資金,中長期持有 (3-6個月),4.78,19.1%,22.7,0.0%,綜合評估一般，需要更多催化劑,技術面趨勢明確 | 風險控制良好,風險可控
13,2356,英業達,$45.05,71.8,A,73,47,低,BUY,73%,可配置20-30%資金,中長期持有 (3-6個月),2.29,13.3%,19.7,0.0%,綜合評估一般，需要更多催化劑,技術面趨勢明確 | 風險控制良好,風險可控
14,2855,統一證,$23.45,71.1,A,60,62,低,HOLD,55%,可配置20-30%資金,中長期持有 (3-6個月),1.60,5.4%,14.7,0.0%,基本面穩健，短期動能強勁，適合波段操作,風險控制良好 | 短期動能強勁,風險可控
15,3653,健策,$2445.00,71.0,A,59,68,低,HOLD,54%,可配置20-30%資金,中長期持有 (3-6個月),30.29,31.0%,80.7,0.0%,基本面穩健，短期動能強勁，適合波段操作,風險控制良好 | 短期動能強勁,高本益比 80.7 - 估值風險
16,2887,台新金,$18.20,71.0,A,71,47,低,BUY,91%,可配置20-30%資金,中長期持有 (3-6個月),1.36,9.1%,13.4,0.0%,綜合評估一般，需要更多催化劑,技術面趨勢明確 | 風險控制良好,風險可控
17,3036,文曄,$143.00,70.7,A,59,57,低,HOLD,54%,可配置20-30%資金,中長期持有 (3-6個月),9.47,12.3%,15.1,0.0%,基本面穩健，短期動能強勁，適合波段操作,風險控制良好 | 短期動能強勁,風險可控
18,2376,技嘉,$293.00,70.6,A,60,67,低,HOLD,55%,可配置20-30%資金,中長期持有 (3-6個月),15.53,26.2%,18.9,0.0%,綜合評估一般，需要更多催化劑,風險控制良好,風險可控
19,2345,智邦,$1040.00,70.3,A,52,65,低,HOLD,47%,可配置20-30%資金,中長期持有 (3-6個月),30.80,52.3%,33.8,0.0%,基本面穩健，短期動能強勁，適合波段操作,風險控制良好 | 短期動能強勁,風險可控
20,2501,國建,$23.45,69.9,B+,57,62,低,HOLD,57%,小額試單5-10%,中長期持有 (3-6個月),1.97,7.5%,11.9,0.0%,基本面穩健，短期動能強勁，適合波段操作,風險控制良好 | 短期動能強勁,風險可控
21,2834,臺企銀,$15.80,69.8,B+,82,35,低,BUY,95%,小額試單5-10%,中長期持有 (3-6個月),1.17,8.7%,13.5,0.0%,綜合評估一般，需要更多催化劑,技術面趨勢明確 | 風險控制良好,風險可控
22,2801,彰銀,$19.80,69.8,B+,82,35,低,BUY,87%,小額試單5-10%,中長期持有 (3-6個月),1.30,8.4%,15.2,0.0%,綜合評估一般，需要更多催化劑,技術面趨勢明確 | 風險控制良好,風險可控
23,6770,力積電,$27.90,69.8,B+,91,28,中,BUY,91%,可配置10-20%資金,短中期持有 (1-3個月),-2.12,-10.0%,0.0,0.0%,綜合評估一般，需要更多催化劑,技術面趨勢明確 | 風險控制良好,虧損中 - 營運風險
24,2327,國巨,$170.00,69.7,B+,52,68,低,HOLD,52%,小額試單5-10%,中長期持有 (3-6個月),9.64,13.6%,17.6,0.0%,基本面穩健，短期動能強勁，適合波段操作,風險控制良好 | 短期動能強勁,風險可控
25,6669,緯穎,$3300.00,69.6,B+,54,60,低,HOLD,54%,小額試單5-10%,中長期持有 (3-6個月),182.70,51.5%,18.1,0.0%,基本面穩健，短期動能強勁，適合波段操作,風險控制良好 | 短期動能強勁,風險可控
26,2059,川湖,$3310.00,69.4,B+,52,77,低,HOLD,52%,小額試單5-10%,中長期持有 (3-6個月),66.34,32.8%,49.9,0.0%,綜合評估一般，需要更多催化劑,基本面表現優異 | 風險控制良好,高本益比 49.9 - 估值風險
27,3481,群創,$14.80,69.1,B+,75,37,低,BUY,75%,小額試單5-10%,中長期持有 (3-6個月),1.11,4.5%,13.3,0.0%,綜合評估一般，需要更多催化劑,技術面趨勢明確 | 風險控制良好,風險可控
28,1795,美時,$255.50,69.0,B+,45,75,低,HOLD,45%,小額試單5-10%,中長期持有 (3-6個月),18.49,25.0%,13.8,0.0%,綜合評估一般，需要更多催化劑,基本面表現優異 | 風險控制良好,風險可控
29,1736,喬山,$176.50,68.9,B+,47,72,低,HOLD,47%,小額試單5-10%,中長期持有 (3-6個月),8.77,26.6%,20.1,0.0%,綜合評估一般，需要更多催化劑,基本面表現優異 | 風險控制良好,風險可控
30,2881,富邦金,$87.40,68.7,B+,59,62,低,HOLD,49%,小額試單5-10%,中長期持有 (3-6個月),8.37,13.6%,10.4,0.0%,綜合評估一般，需要更多催化劑,風險控制良好,風險可控
31,9955,佳龍,$30.70,68.4,B+,91,35,中,BUY,91%,可配置10-20%資金,短中期持有 (1-3個月),-1.45,-12.5%,0.0,0.0%,綜合評估一般，需要更多催化劑,技術面趨勢明確 | 風險控制良好,虧損中 - 營運風險
32,2890,永豐金,$25.05,68.2,B+,69,47,低,HOLD,59%,小額試單5-10%,中長期持有 (3-6個月),1.72,11.4%,14.6,0.0%,綜合評估一般，需要更多催化劑,風險控制良好,風險可控
33,3029,零壹,$124.50,67.9,B+,57,62,低,HOLD,52%,小額試單5-10%,中長期持有 (3-6個月),5.87,20.1%,21.2,0.0%,綜合評估一般，需要更多催化劑,風險控制良好,風險可控
34,5880,合庫金,$24.75,67.6,B+,84,25,低,BUY,95%,小額試單5-10%,中長期持有 (3-6個月),1.23,7.6%,20.1,0.0%,綜合評估一般，需要更多催化劑,技術面趨勢明確 | 風險控制良好,風險可控
35,1560,中砂,$343.50,67.2,B+,62,63,低,HOLD,62%,小額試單5-10%,中長期持有 (3-6個月),7.22,15.6%,47.6,0.0%,綜合評估一般，需要更多催化劑,風險控制良好,高本益比 47.6 - 估值風險
36,8341,日友環保,$78.10,67.0,B+,57,69,低,HOLD,57%,小額試單5-10%,中長期持有 (3-6個月),4.42,13.1%,17.7,0.0%,綜合評估一般，需要更多催化劑,風險控制良好,成交量萎縮 - 流動性風險
37,8081,致新,$231.00,66.9,B+,59,66,低,HOLD,59%,小額試單5-10%,中長期持有 (3-6個月),17.72,19.0%,13.0,0.0%,綜合評估一般，需要更多催化劑,風險控制良好,成交量萎縮 - 流動性風險
38,2838,聯邦銀,$18.10,66.3,B+,77,30,低,BUY,95%,小額試單5-10%,中長期持有 (3-6個月),1.06,6.5%,17.1,0.0%,綜合評估一般，需要更多催化劑,技術面趨勢明確 | 風險控制良好,風險可控
39,3450,聯鈞,$277.00,65.7,B+,42,73,低,HOLD,42%,小額試單5-10%,中長期持有 (3-6個月),5.90,22.6%,46.9,0.0%,綜合評估一般，需要更多催化劑,基本面表現優異 | 風險控制良好,高本益比 46.9 - 估值風險
40,2885,元大金,$34.65,64.3,B+,48,67,低,HOLD,38%,小額試單5-10%,不建議進場,2.59,11.4%,13.4,0.0%,綜合評估一般，需要更多催化劑,風險控制良好,風險可控
41,2891,中信金,$43.05,64.3,B+,54,59,低,HOLD,49%,小額試單5-10%,不建議進場,3.56,15.2%,12.1,0.0%,綜合評估一般，需要更多催化劑,風險控制良好,風險可控
42,2606,裕民,$56.30,63.5,B+,49,58,低,HOLD,44%,小額試單5-10%,中長期持有 (3-6個月),3.97,9.4%,14.2,0.0%,綜合評估一般，需要更多催化劑,風險控制良好,風險可控
43,6176,瑞儀,$141.00,63.3,B+,47,65,低,HOLD,42%,小額試單5-10%,不建議進場,11.56,16.7%,12.2,0.0%,綜合評估一般，需要更多催化劑,風險控制良好,風險可控
44,6239,力成,$147.00,62.9,B+,50,48,低,HOLD,50%,小額試單5-10%,中長期持有 (3-6個月),7.15,10.3%,20.6,0.0%,綜合評估一般，需要更多催化劑,風險控制良好 | 短期動能強勁,風險可控
45,2886,兆豐金,$42.30,62.7,B+,68,30,低,HOLD,58%,小額試單5-10%,中長期持有 (3-6個月),2.11,9.1%,20.0,0.0%,綜合評估一般，需要更多催化劑,風險控制良好,風險可控
46,2317,鴻海,$219.00,62.6,B+,50,52,低,HOLD,50%,小額試單5-10%,中長期持有 (3-6個月),12.84,12.1%,17.1,0.0%,基本面穩健，短期動能強勁，適合波段操作,風險控制良好 | 短期動能強勁,風險可控
47,2360,致茂,$606.00,62.6,B+,40,72,低,SELL,55%,小額試單5-10%,短線操作或觀望,16.41,30.6%,36.9,0.0%,綜合評估一般，需要更多催化劑,基本面表現優異 | 風險控制良好,風險可控
48,2880,華南金,$29.45,61.9,B+,57,42,低,HOLD,47%,小額試單5-10%,中長期持有 (3-6個月),1.69,11.2%,17.4,0.0%,綜合評估一般，需要更多催化劑,風險控制良好,風險可控
49,8261,富鼎,$95.90,61.6,B+,43,58,低,HOLD,38%,小額試單5-10%,中長期持有 (3-6個月),4.99,11.1%,19.2,0.0%,基本面穩健，短期動能強勁，適合波段操作,風險控制良好 | 短期動能強勁,風險可控
50,2412,中華電,$134.50,60.8,B+,46,53,低,HOLD,41%,小額試單5-10%,中長期持有 (3-6個月),4.88,10.5%,27.6,0.0%,綜合評估一般，需要更多催化劑,風險控制良好,風險可控
